id,name,category_id,category_name,quantity,unit,unit_cost,supplier,lot,min_stock,deleted_at,purchase_date,stock_movements_sum_qty,created_at,updated_at
inv-1769226143421-omcm0srwr,Aguardiente Nariño,cmnkwlk6800038xyd1sss57is,INVENTORY::bebidas alcoholicas,1.0,Botella,42500.0,N/A,irina,0.0,,2026-01-24T03:42:23.421Z,0,2026-01-24T03:42:23.421Z,2026-02-01T17:33:43.595Z
inv-1769476992014-lw6bedwuo,Copa de vino 3PK,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,12000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.014Z,2026-01-27T01:23:12.014Z
inv-1769476992015-39aibo4m3,Jarra con tapa color 1L,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,12000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-02-03T01:05:39.847Z
inv-1769476992015-70zn70ifa,Frasco vidrio con tapa,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,14000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-02-03T01:05:47.372Z
inv-1769476992015-8ibhbvr5q,Cucharas plásticas bolsa,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,5000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-02-01T17:41:45.216Z
inv-1769476992015-eyyrccb8j,Dispensador plástico cromado,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,16000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-01-27T01:23:12.015Z
inv-1769476992015-j9u081y4k,Maceta grande plástica (x2),cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,2.0,Unidad,16000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-02-03T01:05:32.655Z
inv-1769476992015-r0v2adtnx,Delantal poliéster cocina,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,14000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-01-27T01:23:12.015Z
inv-1769476992015-tokoeb5zk,Perchas de alambre,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,8000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-02-03T01:05:25.133Z
inv-1769476992015-xar0fgpka,Bolsa ecológica DC grande,cmnkwlkav00208xydbo2lfb3d,INVENTORY::aseo,1.0,Unidad,2000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.015Z,2026-02-01T17:41:45.216Z
inv-1769476992016-xu03n5p4m,Contenedor vidrio mosaico,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,12000.0,Dollarcity – Tienda 3057 (Unico Pasto),DOLLARCITY-20260117-F1L11300084,0.0,,2026-01-17T12:00:00.000Z,0,2026-01-27T01:23:12.016Z,2026-01-27T01:23:12.016Z
inv-1769477420185-nr0pz0m6o,Papelera roja coltp pedal 25 L,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,32900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.185Z,2026-01-27T01:30:20.185Z
inv-1769477420186-1i729xuyn,Uva Red Globe nacional,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,1.0,Kilogramo,-2.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-02-03T00:40:48.599Z
inv-1769477420186-5946xxdax,Vaso Can Glass 12 oz,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,16900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-01-27T01:30:20.186Z
inv-1769477420186-auuaccuw2,Copa Martini Avíspero 9.5 oz,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,6.0,Unidad,6900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-01-27T01:30:20.186Z
inv-1769477420186-co7xyntgf,Copa Lord fondo color 20 oz,cmnkwlk8x00148xydi0hnkgoi,INVENTORY::activos,1.0,Unidad,14900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-01-27T01:30:20.186Z
inv-1769477420186-jye67tqkc,Salsa Tajín Clásic polvo 142 g,cmnkwlk4700008xydbn9is6y0,INVENTORY::comestibles,1.0,Unidad,12900.0,Alkosto centro,ALKOSTO-20260124-001,0.0,,2026-01-24T12:00:00.000Z,0,2026-01-27T01:30:20.186Z,2026-02-03T00:39:45.893Z
